"Controle";"Subclasse";"Classe";"Atividade";"Equipe";"Complexidade"
1;"0892-4/03";"0892403";"Refino e outros tratamentos do sal";"AG";"ALTA"
2;"1031-7/00";"1031700";"Fabricacao de conservas de frutas";"IA";"ALTA"
3;"1032-5/01";"1032501";"Fabricacao de conservas de palmito";"AG";"ALTA"
4;"1032-5/99";"1032599";"Fabricacao de conservas de legumes e outros vegetais, exceto palmito";"IA";"ALTA"
5;"1041-4/00";"1041400";"Fabricacao de oleos vegetais em bruto, exceto oleo de milho";"IA";"ALTA"
6;"1042-2/00";"1042200";"Fabricacao de oleos vegetais refinados, exceto oleo de milho";"IA";"ALTA"
7;"1053-8/00";"1053800";"Fabricacao de sorvetes e outros gelados comestiveis";"IA";"ALTA"
8;"1061-9/01";"1061901";"Beneficiamento de arroz";"AG";"ALTA"
9;"1061-9/02";"1061902";"Fabricacao de produtos do arroz";"IA";"ALTA"
10;"1062-7/00";"1062700";"Moagem de trigo e fabricacao de derivados";"IA";"ALTA"
11;"1063-5/00";"1063500";"Fabricacao de farinha de mandioca e derivados";"IA";"ALTA"
12;"1064-3/00";"1064300";"Fabricacao de farinha de milho e derivados, exceto oleos de milho";"IA";"ALTA"
13;"1065-1/01";"1065101";"Fabricacao de amidos e feculas de vegetais";"IA";"ALTA"
14;"1065-1/02";"1065102";"Fabricacao de oleo de milho em bruto";"IA";"ALTA"
15;"1065-1/03";"1065103";"Fabricacao de oleo de milho refinado";"IA";"ALTA"
16;"1069-4/00";"1069400";"Moagem e fabricacao de produtos de origem vegetal nao especificados anteriormente";"IA";"ALTA"
17;"1071-6/00";"1071600";"Fabricacao de acucar em bruto";"IA";"ALTA"
18;"1072-4/01";"1072401";"Fabricacao de acucar de cana refinado";"IA";"ALTA"
19;"1072-4/02";"1072402";"Fabricacao de acucar de cereais (dextrose) e de beterraba";"IA";"ALTA"
20;"1081-3/02";"1081302";"Torrefacao e moagem de cafe";"IA";"ALTA"
21;"1082-1/00";"1082100";"Fabricacao de produtos a base de cafe";"IA";"ALTA"
22;"1091-1/00";"1091100";"Fabricacao de produtos de panificacao";"IA";"ALTA"
23;"1092-9/00";"1092900";"Fabricacao de biscoitos e bolachas";"IA";"ALTA"
24;"1093-7/01";"1093701";"Fabricacao de produtos derivados do cacau e de chocolates";"IA";"ALTA"
25;"1093-7/02";"1093702";"Fabricacao de frutas cristalizadas, balas e semelhantes";"IA";"ALTA"
26;"1094-5/00";"1094500";"Fabricacao de massas alimenticias";"IA";"ALTA"
27;"1095-3/00";"1095300";"Fabricacao de especiarias, molhos, temperos e condimentos";"IA";"ALTA"
28;"1096-1/00";"1096100";"Fabricacao de alimentos e pratos prontos";"AG";"ALTA"
29;"1099-6/02";"1099602";"Fabricacao de pos alimenticios";"IA";"ALTA"
30;"1099-6/03";"1099603";"Fabricacao de fermentos e leveduras";"IA";"ALTA"
31;"1099-6/04";"1099604";"Fabricacao de gelo comum";"IA";"ALTA"
32;"1099-6/05";"1099605";"Fabricacao de produtos para infusao (cha, mate, etc.)";"IA";"ALTA"
33;"1099-6/06";"1099606";"Fabricacao de adocantes naturais e artificiais";"IA";"ALTA"
34;"1099-6/99";"1099699";"Fabricacao de outros produtos alimenticios nao especificados anteriormente";"IA";"ALTA"
35;"1121-6/00";"1121600";"Fabricacao de aguas envasadas";"IA";"ALTA"
36;"1210-7/00";"1210700";"Processamento industrial do fumo";"BI";"MÉDIA"
37;"1220-4/01";"1220401";"Fabricacao de cigarros";"BI";"MÉDIA"
38;"1220-4/02";"1220402";"Fabricacao de cigarrilhas e charutos";"BI";"MÉDIA"
39;"1220-4/03";"1220403";"Fabricacao de filtros para cigarros";"BI";"MÉDIA"
40;"1220-4/99";"1220499";"Fabricacao de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos";"BI";"MÉDIA"
41;"1742-7/01";"1742701";"Fabricacao de fraldas descartaveis";"CS";"ALTA"
42;"1742-7/02";"1742702";"Fabricacao de absorventes higienicos";"CS";"ALTA"
43;"1742-7/99";"1742799";"Fabricacao de produtos de papel para uso domestico e higienico-sanitario nao especificados anteriormente";"CS";"ALTA"
44;"2011-8/00";"2011800";"Fabricacao de cloro e alcalis";"CS";"ALTA"
45;"2014-2/00";"2014200";"Fabricacao de gases industriais";"OS";"ALTA"
46;"2052-5/00";"2052500";"Fabricacao de desinfestantes domissanitarios";"CS";"ALTA"
47;"2061-4/00";"2061400";"Fabricacao de saboes e detergentes sinteticos";"CS";"ALTA"
48;"2062-2/00";"2062200";"Fabricacao de produtos de limpeza e polimento";"CS";"ALTA"
49;"2063-1/00";"2063100";"Fabricacao de cosmeticos, produtos de perfumaria e de higiene pessoal";"CS";"ALTA"
55;"2219-6/00";"2219600";"Fabricacao de artefatos de borracha nao especificados anteriormente";"OS";"ALTA"
56;"2660-4/00";"2660400";"Fabricacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao";"OS";"ALTA"
57;"3092-0/00";"3092000";"Fabricacao de bicicletas e triciclos nao-motorizados, pecas e acessorios";"OS";"ALTA"
58;"3250-7/01";"3250701";"Fabricacao de instrumentos nao-eletrônicos e utensilios para uso medico, cirurgico, odontologico e de laboratorio";"OS";"ALTA"
59;"3250-7/02";"3250702";"Fabricacao de mobiliario para uso medico, cirurgico, odontologico e de laboratorio";"OS";"ALTA"
60;"3250-7/03";"3250703";"Fabricacao de aparelhos e utensilios para correcao de defeitos fisicos e aparelhos ortopedicos em geral sob encomenda";"OS";"ALTA"
61;"3250-7/04";"3250704";"Fabricacao de aparelhos e utensilios para correcao de defeitos fisicos e aparelhos ortopedicos em geral, exceto sob encomenda";"OS";"ALTA"
62;"3250-7/05";"3250705";"Fabricacao de materiais para medicina e odontologia";"OS";"ALTA"
63;"3250-7/06";"3250706";"Servicos de protese dentaria";"OD";"BAIXA"
64;"3250-7/07";"3250707";"Fabricacao de artigos opticos";"BI";"ALTA"
65;"3250-7/08";"3250708";"Fabricacao de artefatos de tecido nao tecido para uso odonto-medico-hospitalar";"OS";"ALTA"
66;"3291-4/00";"3291400";"Fabricacao de escovas, pinceis e vassouras";"OS";"ALTA"
67;"3600-6/02";"3600602";"Distribuicao de agua por caminhoes";"AM";"BAIXA"
68;"3701-1/00";"3701100";"Gestao de redes de esgoto";"AM";"ALTA"
69;"3702-9/00";"3702900";"Atividades relacionadas a esgoto, exceto a gestao de redes";"AM";"BAIXA"
70;"3811-4/00";"3811400";"Coleta de residuos nao-perigosos";"AM";"BAIXA"
71;"3812-2/00";"3812200";"Coleta de residuos perigosos";"AM";"MÉDIA"
72;"3821-1/00";"3821100";"Tratamento e disposicao de residuos nao-perigosos";"AM";"MÉDIA"
73;"3822-0/00";"3822000";"Tratamento e disposicao de residuos perigosos";"AM";"MÉDIA"
74;"3831-9/01";"3831901";"Recuperacao de sucatas de aluminio";"AM";"BAIXA"
75;"3831-9/99";"3831999";"Recuperacao de materiais metalicos, exceto aluminio";"AM";"BAIXA"
76;"3832-7/00";"3832700";"Recuperacao de materiais plasticos";"AM";"BAIXA"
77;"3839-4/99";"3839499";"Recuperacao de materiais nao especificados anteriormente";"AM";"BAIXA"
79;"4520-0/01";"4520001";"Servicos de manutencao e reparacao mecanica de veiculos automotores";"AM";"BAIXA"
80;"4520-0/05";"4520005";"Servicos de lavagem, lubrificacao e polimento de veiculos automotores";"AM";"BAIXA"
81;"4520-0/06";"4520006";"Servicos de borracharia para veiculos automotores";"AM";"BAIXA"
82;"4543-9/00";"4543900";"Manutencao e reparacao de motocicletas e motonetas";"AM";"BAIXA"
83;"4631-1/00";"4631100";"Comercio atacadista de leite e laticinios";"AG";"MÉDIA"
84;"4632-0/01";"4632001";"Comercio atacadista de cereais e leguminosas beneficiados";"AG";"MÉDIA"
85;"4632-0/02";"4632002";"Comercio atacadista de farinhas, amidos e feculas";"AG";"MÉDIA"
86;"4632-0/03";"4632003";"Comercio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e feculas, com atividade de fracionamento e acondicionamento associada";"AG";"MÉDIA"
87;"4633-8/01";"4633801";"Comercio atacadista de frutas, verduras, raizes, tuberculos, hortalicas e legumes frescos";"AG";"MÉDIA"
88;"4634-6/01";"4634601";"Comercio atacadista de carnes bovinas e suinas e derivados";"AG";"MÉDIA"
89;"4634-6/02";"4634602";"Comercio atacadista de aves abatidas e derivados";"AG";"MÉDIA"
90;"4634-6/03";"4634603";"Comercio atacadista de pescados e frutos do mar";"AG";"MÉDIA"
91;"4634-6/99";"4634699";"Comercio atacadista de carnes e derivados de outros animais";"AG";"MÉDIA"
92;"4635-4/01";"4635401";"Comercio atacadista de agua mineral";"AG";"MÉDIA"
93;"4635-4/02";"4635402";"Comercio atacadista de cerveja, chope e refrigerante";"AG";"MÉDIA"
94;"4635-4/99";"4635499";"Comercio atacadista de bebidas nao especificadas anteriormente";"AG";"MÉDIA"
95;"4636-2/01";"4636201";"Comercio atacadista de fumo beneficiado";"AG";"BAIXA"
96;"4636-2/02";"4636202";"Comercio atacadista de cigarros, cigarrilhas e charutos";"AG";"BAIXA"
97;"4637-1/01";"4637101";"Comercio atacadista de cafe torrado, moido e soluvel";"AG";"MÉDIA"
98;"4637-1/02";"4637102";"Comercio atacadista de acucar";"AG";"MÉDIA"
99;"4637-1/03";"4637103";"Comercio atacadista de oleos e gorduras";"AG";"MÉDIA"
100;"4637-1/04";"4637104";"Comercio atacadista de paes, bolos, biscoitos e similares";"AG";"MÉDIA"
101;"4637-1/05";"4637105";"Comercio atacadista de massas alimenticias";"AG";"MÉDIA"
102;"4637-1/06";"4637106";"Comercio atacadista de sorvetes";"AG";"MÉDIA"
103;"4637-1/07";"4637107";"Comercio atacadista de chocolates, confeitos, balas, bombons e semelhantes";"AG";"MÉDIA"
104;"4637-1/99";"4637199";"Comercio atacadista especializado em outros produtos alimenticios nao especificados anteriormente";"AG";"MÉDIA"
105;"4639-7/01";"4639701";"Comercio atacadista de produtos alimenticios em geral";"AG";"MÉDIA"
106;"4639-7/02";"4639702";"Comercio atacadista de produtos alimenticios em geral, com atividade de fracionamento e acondicionamento associada";"AG";"ALTA"
107;"4644-3/01";"4644301";"Comercio atacadista de medicamentos e drogas de uso humano";"MD";"ALTA"
108;"4645-1/01";"4645101";"Comercio atacadista de instrumentos e materiais para uso medico, cirurgico, hospitalar e de laboratorios";"OS";"MÉDIA"
109;"4645-1/02";"4645102";"Comercio atacadista de proteses e artigos de ortopedia";"OS";"MÉDIA"
110;"4645-1/03";"4645103";"Comercio atacadista de produtos odontologicos";"OS";"MÉDIA"
111;"4646-0/01";"4646001";"Comercio atacadista de cosmeticos e produtos de perfumaria";"CS";"MÉDIA"
112;"4646-0/02";"4646002";"Comercio atacadista de produtos de higiene pessoal";"CS";"MÉDIA"
113;"4649-4/08";"4649408";"Comercio atacadista de produtos de higiene, limpeza e conservacao domiciliar";"CS";"MÉDIA"
114;"4649-4/09";"4649409";"Comercio atacadista de produtos de higiene, limpeza e conservacao domiciliar, com atividade de fracionamento e acondicionamento associada";"CS";"ALTA"
115;"4664-8/00";"4664800";"Comercio atacadista de maquinas, aparelhos e equipamentos para uso odonto-medico-hospitalar; partes e pecas";"OS";"MÉDIA"
117;"4687-7/02";"4687702";"Comercio atacadista de residuos e sucatas nao-metalicos, exceto de papel e papelao";"AM";"BAIXA"
118;"4687-7/03";"4687703";"Comercio atacadista de residuos e sucatas metalicos";"AM";"BAIXA"
119;"4691-5/00";"4691500";"Comercio atacadista de mercadorias em geral, com predominancia de produtos alimenticios";"AG";"MÉDIA"
120;"4711-3/01";"4711301";"Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados";"IA";"ALTA"
121;"4711-3/02";"4711302";"Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados";"AG";"ALTA"
122;"4712-1/00";"4712100";"Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - minimercados, mercearias e armazens";"AG";"BAIXA"
124;"4721-1/02";"4721102";"Padaria e confeitaria com predominancia de revenda";"AG";"MÉDIA"
125;"4721-1/03";"4721103";"Comercio varejista de laticinios e frios";"AG";"MÉDIA"
126;"4721-1/04";"4721104";"Comercio varejista de doces, balas, bombons e semelhantes";"AG";"BAIXA"
127;"4722-9/01";"4722901";"Comercio varejista de carnes - acougues";"AG";"MÉDIA"
128;"4722-9/02";"4722902";"Peixaria";"AG";"MÉDIA"
129;"4723-7/00";"4723700";"Comercio varejista de bebidas";"AG";"BAIXA"
130;"4724-5/00";"4724500";"Comercio varejista de hortifrutigranjeiros";"AG";"BAIXA"
131;"4729-6/01";"4729601";"Tabacaria";"BI";"BAIXA"
132;"4729-6/99";"4729699";"Comercio varejista de produtos alimenticios em geral ou especializado em produtos alimenticios nao especificados anteriormente";"AG";"BAIXA"
